Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 03 Aug 2023 19:56:49 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1982-0304-FRA,1982,0304,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,South-East departments,,,,,,,,150,Km2,,,,,1982,8,24,1982,8,24,2,18,,,18,,,,,,,32.97399781,,,,
1982-0119-FRA,1982,0119,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Seine, Saone, Charente, Loire departments",,,,,No,No,,,Kph,,,,,1982,11,6,1982,11,9,12,,,,,,,,,350000,1061442,32.97399781,,,,
1982-0336-FRA,1982,0336,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1982,1,15,1982,1,15,,,,,,,,,,,,32.97399781,,,,
1983-0346-FRA,1983,0346,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,"Central, South-West regions",,,,,,,,,Kph,,,,,1983,7,26,1983,7,26,11,,,,,,,,,,,34.03326363,,,,
1983-0343-FRA,1983,0343,,Natural,Hydrological,Flood,Riverine flood,,,France,FRA,Western Europe,Europe,"North, East",,,,,No,No,,,Km2,,,,,1983,3,,1983,5,,18,12,200,,212,,,,,604000,1774734,34.03326363,,,,
1983-0342-FRA,1983,0342,,Natural,Hydrological,Landslide,Avalanche,,,France,FRA,Western Europe,Europe,"Mont Blanc, Pyrenees",,,,,,,,,,,,,,1983,2,27,1983,2,27,9,15,,,15,,,,,,,34.03326363,,,,
1983-0344-FRA,1983,0344,,Natural,Hydrological,Landslide,Avalanche,,,France,FRA,Western Europe,Europe,Chamonix,,,,,,,,,,,,,,1983,7,9,1983,7,9,5,5,,,5,,,,,,,34.03326363,,,,
1983-0208-FRA,1983,0208,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,,,,,,,,,,Km2,,,,,1983,8,,1983,8,,12,,,,,,,,,,,34.03326363,,,,
1983-0103-FRA,1983,0103,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,Basque region,,,,,,,,,Km2,,,,,1983,8,,1983,8,,,,,,,,,,,5500,16161,34.03326363,,,,
1983-0341-FRA,1983,0341,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1983,2,,1983,2,,,,,,,,,,,,,34.03326363,,,,
1983-0345-FRA,1983,0345,,Natural,Hydrological,Flood,,,,France,FRA,Western Europe,Europe,Alsace,,,,,,,,,Km2,,,,,1983,5,28,1983,5,28,,,3500,,3500,,,,,,,34.03326363,,,,
1984-0061-FRA,1984,0061,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,,,,,,No,No,,,Kph,,,,,1984,7,11,1984,7,11,4,,,,,,,,,,,35.49688113,,,,
1984-0258-FRA,1984,0258,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1984,11,21,1984,11,21,,,,,,,,,,,,35.49688113,,,,
1984-0257-FRA,1984,0257,,Natural,Meteorological,Storm,Tropical cyclone,,Hortense,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1984,10,5,1984,10,5,,,,,,,,,,,,35.49688113,,,,
1984-0254-FRA,1984,0254,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,"Northwest, Southern",,,,,,,,,Km2,,,,,1984,4,25,1984,4,25,,,,,,,,,,,,35.49688113,,,,
1984-0256-FRA,1984,0256,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,Southern,,,,,,,,,Km2,,,,,1984,7,12,1984,7,12,,,,,,,,,,,,35.49688113,,,,
1985-0175-FRA,1985,0175,,Natural,Meteorological,Storm,Convective storm,Severe storm,,France,FRA,Western Europe,Europe,,,,,,,,,,Kph,,,,,1985,8,,1985,8,,,,,,,,,,,,,36.75546794,,,,
1985-0251-FRA,1985,0251,,Natural,Meteorological,Extreme temperature,Cold wave,,,France,FRA,Western Europe,Europe,Countrywide,,,,,No,No,,,°C,,,,,1985,1,15,1985,1,30,,,,,,,,132300,359946,,,36.75546794,,,,
1985-0087-FRA,1985,0087,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,"South, Corsica",,,,,,,,45,Km2,,,,,1985,8,,1985,8,,6,130,,,130,,,,,,,36.75546794,,,,
1986-0083-FRA,1986,0083,,Natural,Climatological,Wildfire,Forest fire,,,France,FRA,Western Europe,Europe,"Languedoc, Roussillon, Provence, Cote d'Azur",,,,,,,,40,Km2,,,,,1986,7,24,1986,7,24,5,,2000,,2000,,,,,,,37.45311166,,,,
1987-0192-FRA,1987,0192,,Natural,Meteorological,Storm,,,,France,FRA,Western Europe,Europe,"Bretagne, Normandie",,,,,,,,200,Kph,,,,,1987,10,16,1987,10,16,4,,,,,,,,,1700000,4378554,38.82560081,,,,
